speed,direction
99.90,0.00
99.90,0.00
99.90,0.00
37.10,85.69
34.60,95.16
33.70,95.78
31.30,95.76
29.70,81.27
29.70,92.09
29.10,88.51
28.40,89.73
28.20,90.27
27.90,110.47
27.60,97.40
27.00,93.51
26.60,316.90
26.30,102.29
26.27,318.07
25.93,112.62
25.50,95.28
25.40,94.92
25.40,91.16
25.02,91.77
24.80,93.35
24.80,85.82
24.77,357.64
24.70,92.48
24.70,92.74
24.60,94.76
24.50,0.00
24.45,0.03
24.30,94.81
24.22,108.13
24.20,0.00
24.20,87.05
24.19,89.22
24.01,52.74
23.95,0.03
23.91,359.29
23.90,95.47
23.77,0.01
23.70,107.48
23.70,90.79
23.63,0.00
23.60,86.45
23.60,85.56
23.60,98.94
23.59,0.01
23.42,0.00
23.33,61.95
23.33,0.02
23.30,90.80
23.28,0.00
23.15,96.80
23.10,93.08
23.10,98.12
22.90,93.39
22.90,88.06
22.70,79.67
22.68,89.16
22.40,38.71
22.39,111.92
22.33,82.43
22.33,114.04
22.19,114.36
22.17,103.27
22.10,79.67
22.10,83.28
22.02,96.03
22.00,96.73
21.85,288.00
21.84,95.72
21.80,126.59
21.60,97.27
21.53,352.13
21.50,111.82
21.40,96.80
21.30,73.50
21.30,94.60
21.20,97.15
21.00,94.74
20.99,92.69
20.90,82.66
20.90,297.19
20.90,95.31
20.80,352.93
20.80,93.57
20.80,91.19
20.72,99.63
20.70,97.86
20.60,304.12
20.60,93.89
20.60,95.44
20.60,356.29
20.52,128.04
20.49,99.62
20.43,111.54
20.40,79.02
20.40,95.72
20.40,95.55
20.36,92.20
20.20,84.16
20.20,120.60
20.20,89.42
20.19,351.41
20.13,4.91
20.05,128.04
20.00,94.74
20.00,314.46
20.00,92.48
20.00,79.53
19.90,88.81
19.90,108.82
19.80,54.21
19.80,79.74
19.80,88.50
19.80,100.87
19.70,93.64
19.70,94.59
19.70,95.69
19.60,95.68
19.60,96.43
19.60,96.87
19.50,134.48
19.50,297.40
19.50,68.99
19.50,95.40
19.40,54.80
19.40,95.91
19.33,93.02
19.30,116.49
19.30,123.14
19.30,87.27
19.30,30.87
19.30,113.07
19.20,94.36
19.20,108.88
19.20,105.78
19.20,106.07
19.10,83.24
19.10,124.08
19.10,82.42
19.09,110.58
19.07,266.66
19.02,97.89
19.00,124.67
19.00,1.36
18.94,112.96
18.90,92.69
18.90,87.85
18.89,89.69
18.89,78.89
18.89,23.44
18.89,28.63
18.88,112.81
18.82,350.36
18.76,356.33
18.74,117.12
18.73,359.68
18.70,89.70
18.70,77.67
18.70,83.61
18.65,135.45
18.65,114.02
18.64,338.51
18.60,80.56
18.60,125.71
18.60,95.32
18.60,93.68
18.59,318.43
18.50,122.81
18.50,100.69
18.50,93.19
18.50,91.74
18.50,104.15
18.50,300.96
18.45,127.84
18.44,131.43
18.44,136.97
18.43,82.64
18.40,120.34
18.40,91.64
18.32,100.07
18.30,94.61
18.30,129.16
18.20,121.46
18.20,296.89
18.20,93.23
18.14,118.92
18.10,96.39
18.00,94.43
18.00,95.24
18.00,93.18
18.00,86.07
17.99,100.51
17.90,86.79
17.90,94.45
17.90,100.86
17.90,85.78
17.90,94.08
17.90,87.85
17.82,94.96
17.82,122.51
17.80,84.52
17.75,93.33
17.71,119.62
17.70,99.10
17.70,71.92
17.70,261.38
17.70,92.85
17.70,105.94
17.70,96.61
17.70,60.29
17.70,144.86
17.67,102.87
17.65,105.74
17.62,124.47
17.61,89.87
17.60,82.99
17.60,99.21
17.60,111.22
17.60,242.36
17.60,107.80
17.60,85.29
17.60,103.22
17.51,120.50
17.50,128.41
17.50,91.03
17.50,85.76
17.42,46.03
17.40,61.63
17.40,87.87
17.30,97.90
17.30,126.90
17.30,109.60
17.30,88.38
17.30,89.45
17.30,121.41
17.30,101.85
17.30,92.24
17.24,345.49
17.22,345.74
17.20,88.80
17.20,271.93
17.20,92.56
17.20,96.80
17.20,42.79
17.20,97.14
17.10,308.18
17.10,85.12
17.10,59.80
17.10,102.96
17.10,50.11
17.10,95.55
17.10,88.89
17.08,29.86
17.08,355.67
17.08,129.45
17.06,307.42
17.05,110.20
17.05,79.85
17.04,115.35
17.04,264.01
17.03,298.96
17.00,99.87
17.00,109.89
17.00,40.78
17.00,127.05
16.99,124.18
16.98,130.98
16.97,110.17
16.96,351.84
16.96,351.70
16.96,295.97
16.95,93.32
16.94,112.54
16.94,294.78
16.91,351.72
16.91,319.88
16.90,124.81
16.90,112.91
16.89,134.56
16.89,120.79
16.89,300.59
16.88,138.25
16.86,129.77
16.86,102.19
16.86,97.61
16.85,41.91
16.84,323.12
16.84,0.48
16.83,44.15
16.83,299.83
16.82,62.23
16.80,295.95
16.80,125.30
16.80,284.11
16.79,86.52
16.78,22.74
16.77,335.44
16.76,342.11
16.76,297.86
16.75,52.00
16.71,57.26
16.70,122.86
16.70,111.26
16.70,107.55
16.70,44.55
16.70,80.16
16.70,113.96
16.67,107.65
16.67,349.64
16.66,328.91
16.66,88.31
16.66,87.90
16.66,111.95
16.66,131.57
16.66,123.22
16.65,342.81
16.60,95.32
16.60,119.80
16.60,125.56
16.60,95.12
16.60,75.12
16.60,115.13
16.60,87.16
16.60,120.65
16.50,110.36
16.50,95.44
16.50,82.94
16.50,105.81
16.46,129.69
16.44,125.24
16.43,113.22
16.40,81.41
16.40,127.82
16.40,126.59
16.40,100.90
16.40,127.98
16.40,92.98
16.40,110.44
16.36,0.94
16.35,89.97
16.35,289.83
16.33,97.25
16.32,358.27
16.31,122.20
16.30,121.29
16.30,112.43
16.30,86.23
16.30,83.02
16.30,119.42
16.30,92.29
16.30,62.76
16.30,88.50
16.28,116.50
16.24,65.64
16.24,315.96
16.23,351.17
16.22,112.59
16.20,113.74
16.20,105.89
16.20,119.83
16.20,41.96
16.20,75.72
16.20,91.12
16.20,86.60
16.20,86.35
16.20,111.69
16.20,98.90
16.20,91.85
16.17,342.66
16.17,107.27
16.16,131.76
16.14,90.62
16.12,351.49
16.10,123.12
16.10,125.07
16.10,104.66
16.10,94.68
16.10,32.13
16.10,104.36
16.10,89.67
16.09,90.13
16.08,135.45
16.08,124.92
16.08,117.59
16.03,304.84
16.03,116.91
16.02,110.99
16.01,116.79
16.00,293.55
16.00,117.32
16.00,128.20
16.00,94.69
16.00,130.09
16.00,124.05
16.00,312.72
16.00,124.96
16.00,128.79
15.97,94.84
15.94,106.59
15.90,94.28
15.90,306.76
15.90,85.95
15.90,94.50
15.90,95.59
15.90,118.52
15.90,122.22
15.90,76.10
15.90,82.11
15.89,100.41
15.80,63.81
15.80,121.25
15.80,65.97
15.80,95.54
15.80,134.35
15.80,126.61
15.74,27.52
15.72,126.82
15.70,126.01
15.70,95.72
15.70,123.35
15.70,127.93
15.70,302.76
15.70,104.46
15.70,100.92
15.70,61.67
15.70,293.00
15.70,119.20
15.70,101.14
15.70,125.58
15.70,313.10
15.70,72.46
15.70,126.96
15.69,93.53
15.68,126.84
15.68,102.57
15.66,85.93
15.64,121.69
15.61,118.32
15.60,306.13
15.60,134.10
15.60,92.23
15.60,118.36
15.60,84.66
15.60,75.45
15.60,149.86
15.60,111.70
15.60,96.20
15.60,127.81
15.60,112.65
15.60,309.12
15.59,94.75
15.58,93.67
15.51,130.30
15.51,125.53
15.51,146.22
15.50,123.11
15.50,82.00
15.50,82.00
15.50,82.00
15.50,126.80
15.50,102.28
15.50,65.15
15.50,87.66
15.50,124.19
15.50,117.78
15.50,121.00
15.50,126.36
15.50,119.08
15.47,288.39
15.47,126.83
15.46,144.60
15.46,130.06
15.46,346.31
15.46,117.87
15.44,137.69
15.44,109.27
15.43,99.20
15.43,136.18
15.43,108.79
15.41,319.70
15.40,82.25
15.40,111.49
15.40,94.54
15.40,91.46
15.40,94.36
15.40,82.51
15.40,87.98
15.40,93.41
15.40,116.67
15.40,324.59
15.40,321.18
15.40,130.17
15.40,99.77
15.38,32.82
15.35,120.84
15.35,130.00
15.34,155.02
15.34,128.36
15.31,315.32
15.31,288.07
15.31,130.14
15.31,83.82
15.31,59.40
15.31,82.24
15.31,20.76
15.31,343.38
15.30,101.19
15.30,127.96
15.30,84.76
15.30,129.90
15.30,299.82
15.30,265.00
15.30,114.56
15.30,119.21
15.30,117.37
15.29,107.08
15.29,300.40
15.29,106.99
15.27,127.53
15.27,299.78
15.27,71.45
15.27,94.86
15.26,296.82
15.25,356.31
