wind_speed,wind_direction
99.9,0.0
99.9,0.0
99.9,0.0
37.1,85.69
34.6,95.16
33.7,95.78
31.3,95.76
29.7,81.27
29.7,92.09
29.1,88.51
28.4,89.73
28.2,90.27
27.9,110.47
27.6,97.4
27.0,93.51
26.6,316.9
26.3,102.29
26.27,318.07
25.93,112.62
25.5,95.28
25.4,94.92
25.4,91.16
25.02,91.77
24.8,93.35
24.8,85.82
24.77,357.64
24.7,92.48
24.7,92.74
24.6,94.76
24.5,0.0
24.45,0.03
24.3,94.81
24.22,108.13
24.2,0.0
24.2,87.05
24.19,89.22
24.01,52.74
23.95,0.03
23.91,359.29
23.9,95.47
23.77,0.01
23.7,107.48
23.7,90.79
23.63,0.0
23.6,86.45
23.6,85.56
23.6,98.94
23.59,0.01
23.42,0.0
23.33,61.95
23.33,0.02
23.3,90.8
23.28,0.0
23.15,96.8
23.1,93.08
23.1,98.12
22.9,93.39
22.9,88.06
22.7,79.67
22.68,89.16
22.4,38.71
22.39,111.92
22.33,82.43
22.33,114.04
22.19,114.36
22.17,103.27
22.1,79.67
22.1,83.28
22.02,96.03
22.0,96.73
21.85,288.0
21.84,95.72
21.8,126.59
21.6,97.27
21.53,352.13
21.5,111.82
21.4,96.8
21.3,73.5
21.3,94.6
21.2,97.15
21.0,94.74
20.99,92.69
20.9,82.66
20.9,297.19
20.9,95.31
20.8,352.93
20.8,93.57
20.8,91.19
20.72,99.63
20.7,97.86
20.6,304.12
20.6,93.89
20.6,95.44
20.6,356.29
20.52,128.04
20.49,99.62
20.43,111.54
20.4,79.02
20.4,95.72
20.4,95.55
20.36,92.2
20.2,84.16
20.2,120.6
20.2,89.42
20.19,351.41
20.13,4.91
20.05,128.04
20.0,94.74
20.0,314.46
20.0,92.48
20.0,79.53
19.9,88.81
19.9,108.82
19.8,54.21
19.8,79.74
19.8,88.5
19.8,100.87
19.7,93.64
19.7,94.59
19.7,95.69
19.6,95.68
19.6,96.43
19.6,96.87
19.5,134.48
19.5,297.4
19.5,68.99
19.5,95.4
19.4,54.8
19.4,95.91
19.33,93.02
19.3,116.49
19.3,123.14
19.3,87.27
19.3,30.87
19.3,113.07
19.2,94.36
19.2,108.88
19.2,105.78
19.2,106.07
19.1,83.24
19.1,124.08
19.1,82.42
19.09,110.58
19.07,266.66
19.02,97.89
19.0,124.67
19.0,1.36
18.94,112.96
18.9,92.69
18.9,87.85
18.89,89.69
18.89,78.89
18.89,23.44
18.89,28.63
18.88,112.81
18.82,350.36
18.76,356.33
18.74,117.12
18.73,359.68
18.7,89.7
18.7,77.67
18.7,83.61
18.65,135.45
18.65,114.02
18.64,338.51
18.6,80.56
18.6,125.71
18.6,95.32
18.6,93.68
18.59,318.43
18.5,122.81
18.5,100.69
18.5,93.19
18.5,91.74
18.5,104.15
18.5,300.96
18.45,127.84
18.44,131.43
18.44,136.97
18.43,82.64
18.4,120.34
18.4,91.64
18.32,100.07
18.3,94.61
18.3,129.16
18.2,121.46
18.2,296.89
18.2,93.23
18.14,118.92
18.1,96.39
18.0,94.43
18.0,95.24
18.0,93.18
18.0,86.07
17.99,100.51
17.9,86.79
17.9,94.45
17.9,100.86
17.9,85.78
17.9,94.08
17.9,87.85
17.82,94.96
17.82,122.51
17.8,84.52
17.75,93.33
17.71,119.62
17.7,99.1
17.7,71.92
17.7,261.38
17.7,92.85
17.7,105.94
17.7,96.61
17.7,60.29
17.7,144.86
17.67,102.87
17.65,105.74
17.62,124.47
17.61,89.87
17.6,82.99
17.6,99.21
17.6,111.22
17.6,242.36
17.6,107.8
17.6,85.29
17.6,103.22
17.51,120.5
17.5,128.41
17.5,91.03
17.5,85.76
17.42,46.03
17.4,61.63
17.4,87.87
17.3,97.9
17.3,126.9
17.3,109.6
17.3,88.38
17.3,89.45
17.3,121.41
17.3,101.85
17.3,92.24
17.24,345.49
17.22,345.74
17.2,88.8
17.2,271.93
17.2,92.56
17.2,96.8
17.2,42.79
17.2,97.14
17.1,308.18
17.1,85.12
17.1,59.8
17.1,102.96
17.1,50.11
17.1,95.55
17.1,88.89
17.08,29.86
17.08,355.67
17.08,129.45
17.06,307.42
17.05,110.2
17.05,79.85
17.04,115.35
17.04,264.01
17.03,298.96
17.0,99.87
17.0,109.89
17.0,40.78
17.0,127.05
16.99,124.18
16.98,130.98
16.97,110.17
16.96,351.84
16.96,351.7
16.96,295.97
16.95,93.32
16.94,112.54
16.94,294.78
16.91,351.72
16.91,319.88
16.9,124.81
16.9,112.91
16.89,134.56
16.89,120.79
16.89,300.59
16.88,138.25
16.86,129.77
16.86,102.19
16.86,97.61
16.85,41.91
16.84,323.12
16.84,0.48
16.83,44.15
16.83,299.83
16.82,62.23
16.8,295.95
16.8,125.3
16.8,284.11
16.79,86.52
16.78,22.74
16.77,335.44
16.76,342.11
16.76,297.86
16.75,52.0
16.71,57.26
16.7,122.86
16.7,111.26
16.7,107.55
16.7,44.55
16.7,80.16
16.7,113.96
16.67,107.65
16.67,349.64
16.66,328.91
16.66,88.31
16.66,87.9
16.66,111.95
16.66,131.57
16.66,123.22
16.65,342.81
16.6,95.32
16.6,119.8
16.6,125.56
16.6,95.12
16.6,75.12
16.6,115.13
16.6,87.16
16.6,120.65
16.5,110.36
16.5,95.44
16.5,82.94
16.5,105.81
16.46,129.69
16.44,125.24
16.43,113.22
16.4,81.41
16.4,127.82
16.4,126.59
16.4,100.9
16.4,127.98
16.4,92.98
16.4,110.44
16.36,0.94
16.35,89.97
16.35,289.83
16.33,97.25
16.32,358.27
16.31,122.2
16.3,121.29
16.3,112.43
16.3,86.23
16.3,83.02
16.3,119.42
16.3,92.29
16.3,62.76
16.3,88.5
16.28,116.5
16.24,65.64
16.24,315.96
16.23,351.17
16.22,112.59
16.2,113.74
16.2,105.89
16.2,119.83
16.2,41.96
16.2,75.72
16.2,91.12
16.2,86.6
16.2,86.35
16.2,111.69
16.2,98.9
16.2,91.85
16.17,342.66
16.17,107.27
16.16,131.76
16.14,90.62
16.12,351.49
16.1,123.12
16.1,125.07
16.1,104.66
16.1,94.68
16.1,32.13
16.1,104.36
16.1,89.67
16.09,90.13
16.08,135.45
16.08,124.92
16.08,117.59
16.03,304.84
16.03,116.91
16.02,110.99
16.01,116.79
16.0,293.55
16.0,117.32
16.0,128.2
16.0,94.69
16.0,130.09
16.0,124.05
16.0,312.72
16.0,124.96
16.0,128.79
15.97,94.84
15.94,106.59
15.9,94.28
15.9,306.76
15.9,85.95
15.9,94.5
15.9,95.59
15.9,118.52
15.9,122.22
15.9,76.1
15.9,82.11
15.89,100.41
15.8,63.81
15.8,121.25
15.8,65.97
15.8,95.54
15.8,134.35
15.8,126.61
15.74,27.52
15.72,126.82
15.7,126.01
15.7,95.72
15.7,123.35
15.7,127.93
15.7,302.76
15.7,104.46
15.7,100.92
15.7,61.67
15.7,293.0
15.7,119.2
15.7,101.14
15.7,125.58
15.7,313.1
15.7,72.46
15.7,126.96
15.69,93.53
15.68,126.84
15.68,102.57
15.66,85.93
15.64,121.69
15.61,118.32
15.6,306.13
15.6,134.1
15.6,92.23
15.6,118.36
15.6,84.66
15.6,75.45
